rank,imu_index,timestamp,pose_index,dt,NIS,residual_norm,r_theta_x,r_theta_y,r_theta_z,standardized_diag_x,standardized_diag_y,standardized_diag_z,R_x,R_y,R_z,P_pred_theta_x,P_pred_theta_y,P_pred_theta_z,S_xx,S_yy,S_zz,rho_xy,rho_xz,rho_yz,K_theta_x,K_theta_y,K_theta_z,K_bg_x,K_bg_y,K_bg_z,omega_hat_norm,bg_x,bg_y,bg_z,delta_bg_per_frame_x,delta_bg_per_frame_y,delta_bg_per_frame_z
21,14470,1786181306.429975,14441,0.004337310791015625,749.1239601770138,0.009165044109643099,-0.0005520120834128151,0.004160757614331809,-0.008147478890199704,-1.22486104593432,9.540099839666286,-25.624927597253734,1.931914e-07,1.85185e-07,9.60768e-08,9.914959900436358e-09,5.027473792526124e-09,5.016225405820857e-09,2.0310635990043636e-07,1.9021247379252612e-07,1.0109302540582086e-07,-0.0011003282149975886,1.3346684573981636e-05,-6.338155688510909e-07,0.04881543822404117,0.026429652505755807,0.04961989581905078,-0.014721043835472682,-0.015506543873514078,-0.020849188765955182,0.4029339528648761,0.0007815061576482553,-0.0019534812633412533,0.010550273481017986,1.5853780976285837e-05,-6.351405932388822e-05,0.00016987469448761193
22,20850,1786181338.3299592,20821,0.004294633865356445,741.4257179721716,0.008105585301211372,0.0001803482386271319,0.002498741304491377,-0.0077087145154861375,0.5669515332486265,7.694760684068823,-26.113027347907558,9.360314e-08,1.017762e-07,8.218606e-08,7.585542659000373e-09,3.6752017119699044e-09,4.960345270163095e-09,1.0118868265900037e-07,1.054514017119699e-07,8.71464052701631e-08,-0.0007050847210874002,1.0026110895667454e-05,-4.321256134726424e-06,0.07496387852832798,0.03485160986872791,0.05691967723733702,-0.022897206745055312,-0.021499671671852634,-0.023941334122313872,0.23657563625872916,0.0013018010780361578,-0.0046238402054906095,0.01467923187724539,-8.503875545250866e-07,-5.3799547447957834e-05,0.0001845965382814823
23,19374,1786181330.9500248,19345,0.004345893859863281,741.1508200536293,0.0064489228579814786,0.0005878977254406059,-0.0028906141883878267,0.0057347477631111855,2.329501984932196,-9.235340878471504,25.503473000577674,5.791453e-08,9.448351e-08,4.668211e-08,5.776370634214316e-09,3.4822698837977104e-09,3.880558948148531e-09,6.369090063421432e-08,9.796577988379771e-08,5.056266894814853e-08,0.00011427188472854613,-8.657642679044319e-07,1.1959474400450215e-06,0.09069380116154674,0.035545765613475916,0.07674751014481122,-0.027889111160467998,-0.022149163130299538,-0.032496266590331495,0.03252744130094441,-0.00039925565541019427,0.006412835446469798,0.019211453170037935,-1.4345362574575695e-05,6.429086705064119e-05,-0.0001863513227143218
24,18049,1786181324.32566,18020,0.005931854248046875,723.5366146492314,0.006200727738124543,0.00027077441013140854,0.002107379896942832,-0.005825345970079916,1.2273261566678508,7.532430238481484,-25.793075306729996,4.355494e-08,7.519029e-08,4.72948e-08,5.118860408952074e-09,3.0833317735573057e-09,3.7130707114277625e-09,4.867380040895208e-08,7.82736217735573e-08,5.100787071142776e-08,-0.00039089703228751334,1.361688367071798e-05,5.006126347768809e-06,0.10516651057958423,0.0393915627345565,0.07279407373181564,-0.03238397302621122,-0.02477999772817559,-0.0308816011579507,0.33193553052846636,0.0011303866136810107,-0.007125190542827676,0.015335901180127695,-6.4850292154903545e-06,-5.263359657090537e-05,0.00017986629829388513
25,17969,1786181323.9256535,17940,0.005820512771606445,717.460198695355,0.005984159079550053,0.001007472252836803,0.00013655150716874784,0.005897161455735735,3.710108400677774,0.5197779240301728,26.52198038327454,6.750119e-08,6.638112e-08,4.573966e-08,6.23708778331004e-09,2.636079890343732e-09,3.699847703170966e-09,7.373827778331004e-08,6.901719989034374e-08,4.943950770317097e-08,-0.0021958381569831694,-7.93817354010781e-06,1.4922081595649908e-05,0.08457971211383736,0.03818989770737333,0.07483585217597842,-0.02593784897474212,-0.02407222774188726,-0.03176876569249817,1.374975297963323,0.0009733803757024969,-0.003839737372482,0.015378700396782585,-2.582150206759679e-05,-4.981008687319349e-06,-0.000187364953686096
26,19629,1786181332.2256618,19600,0.0058252811431884766,712.8630371859159,0.007463566830717818,-0.0001287654489376049,0.001131619586362375,0.007376156614898585,-0.5148585663827987,3.5435290290363324,26.458332303295368,5.639771e-08,9.857246e-08,7.341662e-08,6.1516408050337505e-09,3.410807308314577e-09,4.303833371700395e-09,6.254935080503376e-08,1.0198326730831458e-07,7.77204533717004e-08,-0.001057320939908036,3.4586567227638175e-07,-9.845287354286712e-06,0.09834758758050882,0.03344369318405562,0.055375813931407114,-0.03019856820702628,-0.020806032179486282,-0.023387167186011297,1.0516032238913617,-0.0005653587995592142,0.004959870044623425,0.014563067865895792,4.931618109876336e-06,-2.361602640069127e-05,-0.00017247499149875348
27,19351,1786181330.8356562,19322,0.005827426910400391,710.0269667007376,0.006878558922079478,0.0009690464568666991,-0.003651832824658503,0.005748011728389215,3.8356986068460674,-11.876457272070839,23.541407106535402,5.793961e-08,9.113647e-08,5.562568e-08,5.8867748259238026e-09,3.410573884438007e-09,3.9913663595423945e-09,6.382638482592381e-08,9.4547043884438e-08,5.96170463595424e-08,0.0007238550255889478,5.4079345134223235e-06,2.2249891083656478e-06,0.09223057959303488,0.03607226615896526,0.06695008561091359,-0.028270682734746443,-0.022340158613286903,-0.028366381687809656,0.3582399069115417,-0.00012401562623185684,0.005003920946710737,0.02238019184372524,-2.1632895495501386e-05,8.325604755323596e-05,-0.00016303907064419212
28,14491,1786181306.5356448,14462,0.005937099456787109,701.3921995464541,0.008886467053565139,0.0009167397528969581,0.002737748897873171,-0.008404380755995729,2.112343984908358,5.894460368619965,-25.732747290306317,1.779392e-07,2.105979e-07,1.012843e-07,1.0409593984900594e-08,5.126426345431541e-09,5.384922429410745e-09,1.883487939849006e-07,2.1572432634543155e-07,1.0666922242941075e-07,-0.00038417353372739705,1.681636233917313e-05,-4.831410948381184e-07,0.055267503722323814,0.023763640152353056,0.050482437933857226,-0.01674296371465139,-0.01417133548409988,-0.021188275511839456,0.08558233181592118,0.0009129379572529292,-0.0029339917006320384,0.013302838457695575,-1.255729701555696e-05,-3.9496107338278866e-05,0.00017809618736665082
29,14471,1786181306.4356556,14442,0.005680561065673828,694.3437781613258,0.008830293248913932,-0.0005057464558210147,0.004028737791528491,-0.00784140109874183,-1.121844280895365,9.236843235615089,-24.653380650588844,1.931914e-07,1.85185e-07,9.60768e-08,1.0044553537137658e-08,5.050191064357398e-09,5.089152714028785e-09,2.0323595353713765e-07,1.902351910643574e-07,1.0116595271402878e-07,-0.001064146638694172,1.5779307487844627e-05,-8.4735587339118e-07,0.04942203651706575,0.026545989365845336,0.05030499445229816,-0.014908891271980194,-0.015590695966906239,-0.021136717553768006,0.3787480095888059,0.0007964089902544627,-0.0020154145983009002,0.010716015587381904,1.490283260620741e-05,-6.193333495964695e-05,0.00016574210636391765
30,19270,1786181330.4298222,19241,0.004152536392211914,688.3036329156998,0.006159476381002387,0.0001736508154191613,-0.0007668197885400504,-0.006109090120004281,0.7220050908057438,-2.515741396175778,-26.104621689966493,5.259322e-08,8.955633e-08,5.078046e-08,5.2527535218143665e-09,3.351995187890768e-09,3.986452237866551e-09,5.7845973521814365e-08,9.290832518789077e-08,5.4766912237866553e-08,0.0006693323867214899,1.1162620849425985e-06,2.7674280420366637e-06,0.09080545524379015,0.036078091588125624,0.07278942840707188,-0.02794477090378545,-0.02252004880760619,-0.030826106219849953,1.098599587775796,0.0005542178625679441,0.0013126195016298925,0.018441802088352215,-4.20806694995514e-06,1.7503032187911284e-05,0.0001883190626573647
