rank,imu_index,timestamp,pose_index,dt,NIS,residual_norm,r_theta_x,r_theta_y,r_theta_z,standardized_diag_x,standardized_diag_y,standardized_diag_z,R_x,R_y,R_z,P_pred_theta_x,P_pred_theta_y,P_pred_theta_z,S_xx,S_yy,S_zz,rho_xy,rho_xz,rho_yz,K_theta_x,K_theta_y,K_theta_z,K_bg_x,K_bg_y,K_bg_z,omega_hat_norm,bg_x,bg_y,bg_z,delta_bg_per_frame_x,delta_bg_per_frame_y,delta_bg_per_frame_z
21,14472,1786181306.4397225,14443,0.004066944122314453,637.8670308299583,0.008467331030384785,-0.000461369077107414,0.003886335799626828,-0.007508610217966106,-1.0235502069128435,8.910886279143178,-23.610064561341108,1.931914e-07,1.85185e-07,9.60768e-08,9.987528190867334e-09,5.027408150102299e-09,5.063624223127459e-09,2.0317892819086733e-07,1.902124081501023e-07,1.0114042422312745e-07,-0.0010148391566423773,1.7422443571779845e-05,-9.585417486133857e-07,0.04915533935246145,0.026429492570319225,0.050065285297876246,-0.014831688318708333,-0.015534503771015812,-0.021035954644383785,0.35641314732754,0.0008101995603709907,-0.002075025015475864,0.010873963010255559,1.379057011652795e-05,-5.9610417174963716e-05,0.0001579474228736548
22,14492,1786181306.5399587,14463,0.004313945770263672,635.1575534382507,0.00846287938016565,0.0008985418103736194,0.002644581975581822,-0.007988688014478423,2.0710043522628347,5.693911836132913,-24.462989646611785,1.779392e-07,2.105979e-07,1.012843e-07,1.0301945642843083e-08,5.123182367494589e-09,5.358578395713544e-09,1.8824114564284308e-07,2.157210823674946e-07,1.0664287839571355e-07,-0.00035860845154046046,1.6443862709155394e-05,-4.675210056058843e-07,0.05472726314196743,0.023748978209854034,0.050247878235439754,-0.016581786398313304,-0.01416946482233615,-0.02108873326464109,0.07975275426411449,0.0009006629940567953,-0.0029721138098893745,0.013471331373648766,-1.2274963196133907e-05,-3.812210925733606e-05,0.00016849291595319102
23,14729,1786181307.725655,14700,0.005746603012084961,496.51722398898124,0.008392410415439434,-0.00046784478970741006,0.0032345651688121453,-0.007729894048602942,-1.0769991946750652,6.550081374901041,-21.27116879037687,1.787237e-07,2.38437e-07,1.256921e-07,9.976707170754877e-09,5.42179315826181e-09,6.3657963561221e-09,1.887004071707549e-07,2.438587931582618e-07,1.320578963561221e-07,-0.0006061044201545865,1.006176125244167e-05,3.7154730725938985e-07,0.052870270106046155,0.02223297136490108,0.048204586920062006,-0.015998250569799415,-0.013124153567600782,-0.020055428859616153,0.3728090903076747,0.0016492207402663244,-0.007348781857244463,0.015120782454924436,1.14129851748379e-05,-4.1960988550096556e-05,0.00015500245212414845
24,14710,1786181307.6297128,14681,0.004062652587890625,465.637416415323,0.008352829593743576,-0.00047246683540456123,0.004140443772824044,-0.0072390097855745345,-1.109781159562041,9.041737118711067,-19.562228632406644,1.710334e-07,2.042821e-07,1.303025e-07,1.0212404528925284e-08,5.413844038522763e-09,6.634770364336615e-09,1.8124580452892526e-07,2.0969594403852275e-07,1.3693727036433661e-07,-0.001380878374395779,5.79333024807596e-07,-1.181470396728446e-06,0.05634380571738474,0.025815733022800217,0.048451165606402904,-0.01694850601930999,-0.01499196089174759,-0.020159334671284893,0.5345735853794648,0.0014536129193477383,-0.00653075934191402,0.013180972489219896,1.621801507036241e-05,-6.108024489411435e-05,0.00014593406907707253
25,16214,1786181315.1496475,16185,0.004024028778076172,471.4702858686658,0.00821927744578107,-0.00011617177881203282,0.0019091549911706917,-0.007993632032325549,-0.27550776199709465,4.841930640070902,-21.16485809877837,1.675134e-07,1.506696e-07,1.362073e-07,1.0287354972898625e-08,4.799915993713568e-09,6.438038268772148e-09,1.7780075497289863e-07,1.5546951599371355e-07,1.4264533826877216e-07,-0.0003929615272105508,1.2718895713828745e-05,3.0588153298258456e-07,0.057858748013480836,0.030873529751494273,0.04513318363474412,-0.017518908587884883,-0.018552416862949596,-0.018778697177649347,0.1282091181213056,0.002265937136854122,-0.0028209609895507074,0.013903417719760329,4.125157858188549e-06,-3.5331669590452953e-05,0.00015010415517124204
26,16194,1786181315.0498686,16165,0.0042438507080078125,451.0041452164282,0.00819188118190564,-0.0004768727652917503,0.002723241722758174,-0.007711255681379772,-1.030196967709612,6.495258209246655,-20.193256573443925,2.034469e-07,1.708896e-07,1.392915e-07,1.0824647306712745e-08,4.894481312362753e-09,6.535344932130248e-09,2.1427154730671275e-07,1.7578408131236276e-07,1.4582684493213023e-07,-0.0009629523935320106,7.721369913869561e-06,5.8553409273385644e-08,0.05051748017304059,0.027842810416200542,0.044815787702646805,-0.015240534778822477,-0.016514041609171935,-0.018663019968641344,0.2857208886464074,0.0021487054474091704,-0.002091608091995854,0.011336509093750476,1.168414349703769e-05,-4.43312620542753e-05,0.00014390998401228768
27,14473,1786181306.4456184,14444,0.005895853042602539,592.7147760792594,0.008164829603679211,-0.0004914037604470818,0.0037401897765036943,-0.007241128726729842,-1.0897898119030014,8.57514717037308,-22.759911153092776,1.931914e-07,1.85185e-07,9.60768e-08,1.0133919841834424e-08,5.055996825641101e-09,5.1443836166211665e-09,2.033253198418344e-07,1.902409968256411e-07,1.0122118361662116e-07,-0.000981807897281364,1.7837392505998155e-05,-1.061756195056566e-06,0.049839998096917464,0.026575861150593412,0.05082319137298309,-0.015043117193723688,-0.01563659981119688,-0.021353516506327948,0.33735157888837725,0.0008241606561806083,-0.0021327560111633398,0.011028576023351494,1.396109580961767e-05,-5.7730995687475806e-05,0.00015461301309593542
28,20850,1786181338.3299592,20821,0.004294633865356445,741.4257179721716,0.008105585301211372,0.0001803482386271319,0.002498741304491377,-0.0077087145154861375,0.5669515332486265,7.694760684068823,-26.113027347907558,9.360314e-08,1.017762e-07,8.218606e-08,7.585542659000373e-09,3.6752017119699044e-09,4.960345270163095e-09,1.0118868265900037e-07,1.054514017119699e-07,8.71464052701631e-08,-0.0007050847210874002,1.0026110895667454e-05,-4.321256134726424e-06,0.07496387852832798,0.03485160986872791,0.05691967723733702,-0.022897206745055312,-0.021499671671852634,-0.023941334122313872,0.23657563625872916,0.0013018010780361578,-0.0046238402054906095,0.01467923187724539,-8.503875545250866e-07,-5.3799547447957834e-05,0.0001845965382814823
29,14493,1786181306.545641,14464,0.005682229995727539,578.4963994891069,0.008084811467652048,0.0008526599424611266,0.0025652169030262956,-0.007619501934538007,1.9649814536329313,5.522591266644177,-23.32654186043901,1.779392e-07,2.105979e-07,1.012843e-07,1.0354075213670735e-08,5.157851815031388e-09,5.412758767093537e-09,1.8829327521367073e-07,2.157557518150314e-07,1.0669705876709354e-07,-0.0003385990052930009,1.5580916847923666e-05,-4.062171132071907e-07,0.054988978008481244,0.023905864046292722,0.05073015887255484,-0.016664103335646187,-0.014271321023299517,-0.021289264200594293,0.08209169695474314,0.0008889347133032988,-0.0030093205699173882,0.01363356413452066,-1.1728280753496535e-05,-3.7206760028013746e-05,0.00016223276087189327
30,14711,1786181307.6356132,14682,0.005900382995605469,431.1833296471377,0.008037940407351759,-0.0004372174625065174,0.003983171965759947,-0.006967902695488906,-1.0268080318171886,8.697783492703762,-18.82821626205511,1.710334e-07,2.042821e-07,1.303025e-07,1.0274398481007691e-08,5.438420774220818e-09,6.654993270997109e-09,1.8130779848100768e-07,2.097205207742208e-07,1.3695749327099712e-07,-0.0013323523238141389,3.903647798854681e-06,-1.096028118856681e-06,0.05666659102270194,0.02593002401143783,0.048591669648102055,-0.017052395695494587,-0.015074918635659006,-0.020216028198102635,0.5013698618357254,0.0014688611481709852,-0.006589913923760324,0.01332183259550131,1.524822882324685e-05,-5.915458184630341e-05,0.00014086010628141382
