imu_index,timestamp,dt,pose_index,has_pose_match,update_applied,skip_reason,omega_hat_x,omega_hat_y,omega_hat_z,a_hat_W_x,a_hat_W_y,a_hat_W_z,q_norm,P_min_eigenvalue,P_symmetry_error,r_position_x,r_position_y,r_position_z,r_theta_x,r_theta_y,r_theta_z,position_residual_norm,attitude_residual_norm,NIS,delta_p_x,delta_p_y,delta_p_z,delta_v_x,delta_v_y,delta_v_z,delta_theta_x,delta_theta_y,delta_theta_z,delta_bg_x,delta_bg_y,delta_bg_z,delta_ba_x,delta_ba_y,delta_ba_z
415,1786181236.1555245,0.0059108734130859375,386,True,True,,-0.00601383061959627,-0.002108380951539634,-0.0020978658328728444,0.037737570938795956,-0.03656681040459395,-0.033352813434243345,1.0,3.808541617146503e-09,0.0,0.00012448547544556543,-0.000123421497822334,-7.475960695257997e-05,-0.0003975529359914147,8.53452531142021e-06,0.00015046674728766743,0.0001905741287618052,0.0004251604603876235,1.5442882856499809,2.241986905921212e-05,-2.1928704697959993e-05,-1.3403461852881684e-05,0.0003295679210015876,-0.00031546225080143027,-0.00019538970998696768,-2.927378083179883e-05,4.816143246255697e-07,1.0635288778223533e-05,7.694669938556182e-06,-6.98891716417735e-08,-2.4765164664010444e-06,7.746864392989825e-07,0.0001341310110895446,1.4798281864569258e-06
416,1786181236.1597555,0.004230976104736328,387,True,True,,0.006761647710465174,-0.002108311062367992,0.001100402683593557,-0.028879314210669506,-0.02587347325558294,0.05323557664812206,1.0,3.688448418022844e-09,0.0,6.272628626796499e-05,-6.363846937256293e-05,-4.586297911545606e-05,-0.0003788796144772597,1.2967353390320663e-05,0.00013122018229543188,0.00010043831254256556,0.0004011691049445766,1.350654099358931,1.0605904892955539e-05,-1.0600044119021133e-05,-7.71808959512006e-06,0.0001500681474985393,-0.00014471310487153242,-0.00010810818449113693,-2.72383602863851e-05,7.084382665618252e-07,9.023963382849474e-06,7.473886165117829e-06,-1.0904649426489615e-07,-2.2064778834208114e-06,3.6090267516869092e-06,0.00011835723625728766,1.2710033983275532e-06
417,1786181236.1654968,0.0057413578033447266,388,True,True,,0.002493115824300056,2.232698412627269e-05,-0.002093182838523021,-0.0915448265317936,-0.009794251696037507,0.015187100340382287,1.0,3.6090212133700585e-09,0.0,-2.5988273984374477e-07,5.915253098801032e-08,-1.5403913627536243e-05,-0.00036593080864663,1.0167234756893666e-05,0.0001262045645233193,1.5406219299522767e-05,0.00038721611728581107,1.2523522920513,-4.2324279589006716e-08,5.8250223429956614e-08,-2.5334794964719567e-06,-5.245051725217083e-07,4.252272945892976e-06,-3.3692276001592554e-05,-2.61910520304158e-05,5.438827056647207e-07,8.594057763216295e-06,7.5773489663085015e-06,-9.040485309539786e-08,-2.2328895617037298e-06,3.979216660133059e-06,0.00010570219962394869,1.0619124259482837e-06
418,1786181236.1697636,0.0042667388916015625,389,True,True,,-0.0017755195246662529,-0.001042848611020632,3.957705103868267e-05,-0.12025238693607367,-0.019449308652335417,0.015475464207579392,1.0,3.5099431709200646e-09,0.0,-3.916630057377614e-05,3.8695493574585765e-05,3.7203054380173517e-06,-0.0003321767831878896,1.006301133909e-05,0.00011942347096969698,5.5183158628048166e-05,0.0003531354483830743,1.0499267034950053,-6.117198988241169e-06,6.0261282053667e-06,5.779897061323206e-07,-7.94834790951917e-05,8.027993185272531e-05,7.424280917666711e-06,-2.330270275228985e-05,5.235904151455014e-07,7.948093122794761e-06,6.987647335904279e-06,-9.179068627514819e-08,-2.1522882884192364e-06,4.951781759154431e-06,8.890455503651317e-05,8.397654253032471e-07
419,1786181236.1755092,0.005745649337768555,390,True,True,,0.002478550827997843,-0.001042756820334357,0.0021722603393271034,-0.046048543041436275,0.04352963971261927,0.043112626413893906,1.0,3.4484367363799608e-09,0.0,-8.581919452550248e-05,8.427291964177575e-05,2.4750821823040642e-05,-0.00032711894162374577,2.1520455911615867e-05,0.00010300990970090756,0.0001227984621844717,0.00034362912200259235,0.9899515573444635,-1.3137808668714275e-05,1.2807920453040789e-05,3.7645223527272624e-06,-0.0001632540405505642,0.000159507702695037,4.605379198397286e-05,-2.292735434606463e-05,1.1009994622661234e-06,6.8175569280798026e-06,7.183790244329535e-06,-2.0685728507860803e-07,-1.942864347181688e-06,1.0191821889976945e-05,8.101575202070294e-05,7.054164528122366e-07
420,1786181236.1796017,0.00409245491027832,391,True,True,,-0.0039202199622464864,0.0032185080369507213,4.3672203674283844e-05,0.05184000912701007,0.03867704144871279,0.004165776341217509,1.0,3.361723461947546e-09,0.0,-0.0001092852134159765,0.00010807212659373622,3.582202811731709e-05,-0.000302126302992889,1.727799743912082e-05,9.401147358470875e-05,0.00015781653942570763,0.00031688639813224175,0.8491738882721727,-1.5818099088326506e-05,1.5512498636774527e-05,5.148392136031393e-06,-0.00019078591309827335,0.0001862356210583286,6.097856791983069e-05,-2.0767472801537477e-05,8.620005730458677e-07,6.089742102394772e-06,6.695980798053132e-06,-1.6936272786511908e-07,-1.7947232811412002e-06,9.533054428810563e-06,6.938769206137044e-05,5.357193051734023e-07
421,1786181236.1854954,0.005893707275390625,392,True,True,,-0.0017963869430445397,0.0010881483996785864,4.546692695542656e-05,0.08032714231241306,0.002446840437366688,-0.06753687716594392,1.0,3.3172160990033423e-09,0.0,-0.0001452008201955398,0.00014287664976855158,5.1967957217426836e-05,-0.00029478189957112607,1.2020248975070299e-05,9.158001107317684e-05,0.0002102324518524558,0.0003089138279979505,0.8187434459634304,-2.0713743283511162e-05,2.017593985331825e-05,7.350696001957125e-06,-0.0002397868176882676,0.00023087809106803504,8.325874918677324e-05,-2.033814019295568e-05,5.922266200227775e-07,5.928763655834521e-06,6.808876803664447e-06,-1.2330394990830734e-07,-1.8265885195542617e-06,9.756114189570027e-06,6.259269412828808e-05,3.6669277663658896e-07
422,1786181236.189941,0.004445552825927734,393,True,True,,-0.006064252819848204,2.3008703628495022e-05,0.002177824515474984,0.0806618353794153,-0.006549244130589041,-0.031522753901583656,1.0,3.249473473995026e-09,0.0,-0.00016169266240215543,0.00015984919094168618,6.049984986496518e-05,-0.00026151130613558707,7.318872533139793e-06,8.19023496177572e-05,0.00023527964797893672,0.00027413449984415753,0.6585681746464823,-2.204876814206198e-05,2.1552707056698746e-05,8.172550174737275e-06,-0.00024786627958520597,0.00023827095221574338,8.961623944606182e-05,-1.7802974272547238e-05,3.531855720970638e-07,5.221624608572047e-06,6.116085896573165e-06,-7.623855575263054e-08,-1.6588231501423655e-06,9.324437674253614e-06,5.14269165048924e-05,1.976219917233243e-07
423,1786181236.1955345,0.005593538284301758,394,True,True,,0.0003212170942552225,-0.002107444057815752,0.0011142173386251251,0.03317640510044071,-0.008128362410301966,0.02870211535478262,1.0,3.209658890825017e-09,0.0,-0.00018608134247165807,0.00018443537955107475,7.111515385134146e-05,-0.00025550751870886176,1.6770179660604326e-05,7.040582622308028e-05,0.0002714775135319746,0.00026556037243678294,0.6266292107293634,-2.487371241454785e-05,2.4335890674988997e-05,9.402191428506822e-06,-0.00026988003634666636,0.0002584004080586163,9.913049667820443e-05,-1.7424777965508665e-05,8.008393045161596e-07,4.481842747989318e-06,6.166469536041891e-06,-1.8354662122212327e-07,-1.4751749175332782e-06,1.354240530105189e-05,4.643542192346611e-05,8.005568078262474e-08
424,1786181236.1995327,0.003998279571533203,395,True,True,,-0.00394600737528082,0.0010885314888054698,5.042751354265851e-05,-0.05808379114359364,-0.008488115584007624,0.010170130281474954,1.0,3.143201847629997e-09,0.0,-0.00019267665341128268,0.00019151224118814023,7.437296950463419e-05,-0.00022831612000456027,1.3606576598284074e-05,6.971099041271566e-05,0.00028166038040095947,0.00023910878646545692,0.5251164709450632,-2.4494706720375475e-05,2.4009693183611565e-05,9.343413761785705e-06,-0.0002595599172911329,0.00024789183295732337,9.589026657752062e-05,-1.5305638587343313e-05,6.363247984545992e-07,4.357962798017711e-06,5.523703815572052e-06,-1.5068023610755903e-07,-1.4686360907003028e-06,1.3166032214276442e-05,3.84231712409804e-05,-3.255861829442867e-08
