imu_index,timestamp,dt,pose_index,has_pose_match,update_applied,skip_reason,omega_hat_x,omega_hat_y,omega_hat_z,q_norm,P_theta_x,P_theta_y,P_theta_z,P_bg_x,P_bg_y,P_bg_z,P_min_eigenvalue,P_symmetry_error,r_theta_x,r_theta_y,r_theta_z,residual_norm,R_x,R_y,R_z,NIS,delta_theta_x,delta_theta_y,delta_theta_z,delta_bg_x,delta_bg_y,delta_bg_z,K_theta_x,K_theta_y,K_theta_z,K_bg_x,K_bg_y,K_bg_z
416,1786181236.1597555,0.004230976104736328,387,True,True,,0.0067616265603725025,-0.0021083172501312336,0.0011004024713632925,1.0,8.519814238980939e-09,3.7462045440392025e-09,5.0605202870076585e-09,5.314735348140323e-08,1.2016951651762463e-08,2.7818938463238973e-08,3.706206339393038e-09,0.0,-0.0003788689737341946,1.2970693018662303e-05,0.0001312202851488341,0.0004011591970406855,1.185073e-07,6.865802e-08,7.358879e-08,1.34437881788043,-2.7238128445564622e-05,7.08457218785114e-07,9.023966635332694e-06,7.474544706308183e-06,-1.0882305920200176e-07,-2.20647143574011e-06,0.07189273775602555,0.05456324752492126,0.06876754308961044,-0.01972827903196262,-0.008397477856080913,-0.0168159792262699
417,1786181236.1654968,0.0057413578033447266,388,True,True,,0.002493094015666194,2.232057292796824e-05,-0.002093183057200968,1.0,8.481966353823136e-09,3.6692072987075993e-09,5.0109911031685e-09,5.31500372281827e-08,1.2068619927363729e-08,2.7851630889787125e-08,3.624986940887835e-09,0.0,-0.00036592027455047187,1.0170592305982428e-05,0.00012620466539767542,0.0003872062833207726,1.185073e-07,6.865802e-08,7.358879e-08,1.2521274166511125,-2.6190299049167785e-05,5.440625723070707e-07,8.594064641345192e-06,7.577132805412402e-06,-9.043597497567415e-08,-2.2328913611197338e-06,0.0715733659893926,0.053441787214045085,0.06809448970818761,-0.02070681472082739,-0.008899886610369534,-0.01769352876948673
418,1786181236.1697636,0.0042667388916015625,389,True,True,,-0.0017755411171392185,-0.0010428549910970562,3.9576834160150176e-05,1.0,8.313264020293132e-09,3.570313039268309e-09,4.8974928976275566e-09,5.313632011009446e-08,1.2105226326243988e-08,2.7868689208336912e-08,3.524339232568443e-09,0.0,-0.0003321669099350128,1.0066216229310419e-05,0.00011942356587695583,0.0003531262845664675,1.185073e-07,6.865802e-08,7.358879e-08,1.0480328754615242,-2.3301594716248384e-05,5.238916901473794e-07,7.948102876618466e-06,6.986762858615699e-06,-9.202686550010388e-08,-2.1522966370332635e-06,0.07014980530020283,0.052001398174297955,0.06655215961995505,-0.021033610848053746,-0.009148080872581742,-0.018023374335473175
419,1786181236.1755092,0.005745649337768555,390,True,True,,0.002478530120002166,-0.0010427629642315562,0.0021722601307971844,1.0,8.305572649614246e-09,3.5118539429228462e-09,4.870216177661719e-09,5.313234742480076e-08,1.2155956601693695e-08,2.7898107718917792e-08,3.4614557144797954e-09,0.0,-0.00032711005740527994,2.1523394776039347e-05,0.00010300999602835465,0.0003436208745989283,1.185073e-07,6.865802e-08,7.358879e-08,0.9806783768079459,-2.2925665739343212e-05,1.1015014162017148e-06,6.817572942186427e-06,7.1818674697586165e-06,-2.0742109239675998e-07,-1.942883363832102e-06,0.0700849032173926,0.05114994489628013,0.0661814955540637,-0.021955152135043392,-0.00964136717403222,-0.018862479851006333
420,1786181236.1796017,0.00409245491027832,391,True,True,,-0.003920238747467593,0.0032185024568608406,4.367201416101418e-05,1.0,8.145316745102019e-09,3.4253864193124786e-09,4.766792762415872e-09,5.311081110325209e-08,1.2189871727993627e-08,2.7910352085687454e-08,3.3735233081468017e-09,0.0,-0.00030211903052115396,1.7280457245943786e-05,9.401154473680286e-05,0.0003168796196499086,1.185073e-07,6.865802e-08,7.358879e-08,0.8337288574024823,-2.07655268825767e-05,8.626034799407867e-07,6.089761492359779e-06,6.6934529114991535e-06,-1.7012164509541607e-07,-1.7947485871359807e-06,0.06873261601927239,0.04989055052778688,0.06477607205539108,-0.02215484218245985,-0.009848777102768482,-0.019091626398292528
421,1786181236.1854954,0.005893707275390625,392,True,True,,-0.001796403200379092,0.001088143578505936,4.546676274815031e-05,1.0,8.175358813446712e-09,3.3846849145190106e-09,4.764053284492228e-09,5.3101910440645385e-08,1.224106054151789e-08,2.7937984970576183e-08,3.327942160890052e-09,0.0,-0.0002947764772181162,1.2022134344482414e-05,9.158006378368791e-05,0.0003089087427023452,1.185073e-07,6.865802e-08,7.358879e-08,0.7912405738118585,-2.033553097030769e-05,5.93075187813907e-07,5.928790355966743e-06,6.805113524928797e-06,-1.2446968672864869e-07,-1.8266265865405225e-06,0.0689861199660264,0.04929773551511395,0.06473884522237015,-0.023085601578954264,-0.010358066534144462,-0.01994627658110372
422,1786181236.189941,0.004445552825927734,393,True,True,,-0.00606426531390402,2.300504819266469e-05,0.0021778243893346913,1.0,8.066428407533235e-09,3.3181020478998325e-09,4.6916258509402634e-09,5.307691120190269e-08,1.227739187794213e-08,2.795019447026777e-08,3.2592391866728326e-09,0.0,-0.0002615084374864752,7.3199256668856455e-06,8.19023760872371e-05,0.0002741317993176305,1.185073e-07,6.865802e-08,7.358879e-08,0.6238741021464747,-1.7800108357403466e-05,3.5414768712939456e-07,5.221653490257119e-06,6.111637323415843e-06,-7.763612430193888e-08,-1.6588679739909075e-06,0.0680669326594877,0.04832795999694422,0.0637546269326316,-0.02337065248717663,-0.010611776627788855,-0.020254761145440284
423,1786181236.1955345,0.005593538284301758,394,True,True,,0.0003212090487725633,-0.0021074463156830333,0.0011142172573086785,1.0,8.080147542433562e-09,3.2818639448117004e-09,4.684440500229627e-09,5.305890885221586e-08,1.2324512019401582e-08,2.7971620349826383e-08,3.218574815306325e-09,0.0,-0.00025550747100798016,1.6770283420425455e-05,7.040582414138738e-05,0.0002655603325421988,1.185073e-07,6.865802e-08,7.358879e-08,0.5802982136099922,-1.7421286954658997e-05,8.020471692343181e-07,4.481876713518037e-06,6.160754653146275e-06,-1.8536874070251113e-07,-1.475232166554468e-06,0.0681826988169133,0.047800154173132436,0.06365698501203423,-0.0241115925460977,-0.011056954379714875,-0.020954678812643384
424,1786181236.1995327,0.003998279571533203,395,True,True,,-0.0039460097058805835,0.0010885310530576692,5.042748947523337e-05,1.0,7.942396866888493e-09,3.2158614511071003e-09,4.600409015093543e-09,5.3024713696738867e-08,1.2355421729398157e-08,2.797675704179768e-08,3.1513505876313855e-09,0.0,-0.00022831955404027594,1.3605474370054908e-05,6.971095425642005e-05,0.00023911199224071846,1.185073e-07,6.865802e-08,7.358879e-08,0.47488436652689703,-1.5302113787723252e-05,6.375832944779993e-07,4.357996461051238e-06,5.517562304074485e-06,-1.5266298023089443e-07,-1.4686974421053123e-06,0.06702031746462553,0.04683883175895136,0.06251507895453905,-0.024165787787761697,-0.01122315695563295,-0.02106946093202011
425,1786181236.2054985,0.005965709686279297,396,True,True,,0.0013747957318153425,2.3420716037900104e-05,0.00218242718691734,1.0,8.008433024992933e-09,3.1972887074775248e-09,4.623253997007303e-09,5.300479820968371e-08,1.2405180549857156e-08,2.79988528696584e-08,3.1274495753516017e-09,0.0,-0.00019924316289642033,1.0766266264230806e-05,5.839895885428067e-05,0.00020790427808370314,1.185073e-07,6.865802e-08,7.358879e-08,0.35738734001613576,-1.3464419985192769e-05,5.017262795467815e-07,3.668952320272602e-06,4.985422987971407e-06,-1.2617190939329562e-07,-1.277203184038908e-06,0.06757755029411909,0.046568320854510056,0.06282552000813145,-0.025021626564661278,-0.01172408441936695,-0.02187129617787723
426,1786181236.2099414,0.004442930221557617,397,True,True,,0.006696132308827371,-0.0010417191120527065,0.0011184383901013777,1.0,7.922789279472163e-09,3.1486458905894377e-09,4.568965895482256e-09,5.296855874098384e-08,1.2439330014384284e-08,2.800496546403902e-08,3.076718741141565e-09,0.0,-0.00019751937182794965,1.687531832999484e-05,4.783261823877174e-05,0.00020392802157531605,1.185073e-07,6.865802e-08,7.358879e-08,0.34031964904024553,-1.3205214605980188e-05,7.74299350215777e-07,2.969846792623317e-06,4.9781653911974175e-06,-2.0161565056448496e-07,-1.0569744403063155e-06,0.0668548627827114,0.04585984111549191,0.062087797563015336,-0.02520314659843241,-0.011952357560665398,-0.02209883374397735
427,1786181236.2154968,0.005555391311645508,398,True,True,,0.0013648321434361738,0.0021542775035978574,-0.0010110316354583152,1.0,7.953783725391303e-09,3.127994120347914e-09,4.57618699135769e-09,5.2939370487882316e-08,1.2483879313847813e-08,2.802005941966803e-08,3.051540887519623e-09,0.0,-0.00019786959751472592,8.171121327362574e-06,4.447710943217191e-05,0.00020297132336324631,1.185073e-07,6.865802e-08,7.358879e-08,0.3343439915104316,-1.3280314592569575e-05,3.7260031289121546e-07,2.765820195794763e-06,5.110587041340632e-06,-1.0098359912360204e-07,-1.0099341810143223e-06,0.06711640317525348,0.04555904930795626,0.06218592522255391,-0.025828010632023155,-0.012368478917934352,-0.022707287165787345
428,1786181236.2196326,0.004135847091674805,399,True,True,,-0.002901336443605167,-0.0010414165128030187,5.524029872269742e-05,1.0,7.846771511550223e-09,3.079346239749246e-09,4.512844247802992e-09,5.289596995274371e-08,1.2513948600227816e-08,2.8020689391155037e-08,3.0015186075093588e-09,0.0,-0.0001626056637532059,2.089841540582487e-06,4.146925939118796e-05,0.00016782332614013773,1.185073e-07,6.865802e-08,7.358879e-08,0.23033725453156415,-1.0766680996051926e-05,9.396531953217049e-08,2.5431074085169883e-06,4.202234326035368e-06,-2.613541078660617e-08,-9.451891051690158e-07,0.06621340214545904,0.04485049580703679,0.06132515901759951,-0.025843075318096532,-0.012532027055512237,-0.022792972222067415
429,1786181236.2255285,0.005895853042602539,400,True,True,,0.007747105322068797,-0.004237182377392232,5.618548782786517e-05,1.0,7.936234379921945e-09,3.056385504784675e-09,4.563448335510549e-09,5.2867725568985815e-08,1.2559409060854129e-08,2.8039158648518323e-08,2.9741686890671157e-09,0.0,0.0005901096672376809,-0.00012447778351414485,8.256422655356506e-05,0.0006087207811980377,1.220923e-07,6.144013e-08,7.900257e-08,2.9877301796899665,3.8358573959820705e-05,-6.193194671669893e-06,4.768878545162139e-06,-1.5249817910765996e-05,1.7981749301868503e-06,-1.8147159728672301e-06,0.06500192380053856,0.04974575254310767,0.057763289634793547,-0.02584203554296669,-0.014448730169567532,-0.021975025617679396
430,1786181236.22958,0.0040514469146728516,401,True,True,,0.006697091139979564,-0.003173717552322419,-0.0010072617961992669,1.0,7.839315021798516e-09,2.996996574638252e-09,4.516829741600068e-09,5.282122957319651e-08,1.2586283830095096e-08,2.8038842574984308e-08,2.914576084843569e-09,0.0,0.0005406296311362238,-0.00011142048866926667,7.590084372539538e-05,0.0005571856615491954,1.220923e-07,6.144013e-08,7.900257e-08,2.5011730202071054,3.471299065718589e-05,-5.435681379385581e-06,4.338924593910713e-06,-1.3961562810231408e-05,1.6188459358586283e-06,-1.675763376668793e-06,0.06420810340269914,0.04877913785677776,0.05717320007879911,-0.02582445982998856,-0.014531720208516948,-0.022074350067659076
431,1786181236.2354913,0.005911350250244141,402,True,True,,0.001384730702789795,2.0458601741722097e-05,-0.0010055860328225964,1.0,7.93212504059928e-09,2.9826065767196424e-09,4.568459413926824e-09,5.278838331807518e-08,1.2630909677019684e-08,2.8054464038696743e-08,2.8956125641217636e-09,0.0,0.0005037784296116888,-0.00010205613621258896,6.554698011821875e-05,0.0005181742638179553,1.220923e-07,6.144013e-08,7.900257e-08,2.156176261263196,3.272973651575937e-05,-4.954782966898707e-06,3.7898089797849007e-06,-1.3369324244715511e-05,1.5284179467068953e-06,-1.4930257796460781e-06,0.0649682661525887,0.04854492613726532,0.0578267189891659,-0.026537985100728988,-0.014978459036103333,-0.022774542686275136
